year,year2014,year2015
"2014-01-01",85,65
"2014-01-02",158,79
"2014-01-03",74,200
"2014-01-04",165,226
"2014-01-05",113,122
"2014-01-06",190,60
"2014-01-07",122,85
"2014-01-08",32,190
"2014-01-09",49,105
"2014-01-10",95,208
"2014-01-11",159,59
"2014-01-12",52,160
"2014-01-13",117,211
"2014-01-14",113,265
"2014-01-15",180,386
"2014-01-16",403,118
"2014-01-17",209,89
"2014-01-18",113,94
"2014-01-19",149,77
"2014-01-20",33,113
"2014-01-21",68,48
"2014-01-22",162,143
"2014-01-23",276,257
"2014-01-24",195,117
"2014-01-25",50,185
"2014-01-26",77,119
"2014-01-27",114,43
"2014-01-28",67,65
"2014-01-29",165,87
"2014-01-30",93,35
"2014-01-31",188,60
"2014-02-01",178,108
"2014-02-02",85,188
"2014-02-03",38,143
"2014-02-04",47,36
"2014-02-05",119,62
"2014-02-06",158,100
"2014-02-07",124,37
"2014-02-08",84,46
"2014-02-09",34,152
"2014-02-10",53,166
"2014-02-11",142,55
"2014-02-12",150,59
"2014-02-13",242,175
"2014-02-14",329,293
"2014-02-15",429,326
"2014-02-16",348,153
"2014-02-17",118,44
"2014-02-18",98,73
"2014-02-19",92,267
"2014-02-20",270,183
"2014-02-21",311,394
"2014-02-22",311,158
"2014-02-23",255,86
"2014-02-24",313,207
"2014-02-25",404,88
"2014-02-27",37,39
"2014-02-28",113,41
"2014-03-01",68,165
"2014-03-02",189,70
"2014-03-03",268,74
"2014-03-04",67,50
"2014-03-05",50,47
"2014-03-06",43,153
"2014-03-07",70,251
"2014-03-08",179,279
"2014-03-09",127,152
"2014-03-10",110,40
"2014-03-11",195,57
"2014-03-12",41,64
"2014-03-13",69,98
"2014-03-14",64,89
"2014-03-15",133,132
"2014-03-16",145,137
"2014-03-17",142,266
"2014-03-18",85,226
"2014-03-19",73,75
"2014-03-20",44,134
"2014-03-21",62,123
"2014-03-22",86,75
"2014-03-23",186,79
"2014-03-24",271,70
"2014-03-25",255,109
"2014-03-26",331,160
"2014-03-27",285,137
"2014-03-28",169,143
"2014-03-29",63,174
"2014-03-30",77,176
"2014-03-31",183,201
"2014-04-01",147,192
"2014-04-02",133,77
"2014-04-03",66,50
"2014-04-04",91,62
"2014-04-05",68,90
"2014-04-06",98,70
"2014-04-07",135,43
"2014-04-08",223,50
"2014-04-09",156,135
"2014-04-10",246,217
"2014-04-11",83,201
"2014-04-12",133,182
"2014-04-13",212,44
"2014-04-14",270,68
"2014-04-15",109,78
"2014-04-16",90,181
"2014-04-17",124,87
"2014-04-18",182,116
"2014-04-19",84,87
"2014-04-20",84,90
"2014-04-21",73,91
"2014-04-22",85,85
"2014-04-23",156,80
"2014-04-24",156,107
"2014-04-25",163,119
"2014-04-26",69,161
"2014-04-27",74,115
"2014-04-28",83,79
"2014-04-29",122,152
"2014-04-30",139,153
"2014-05-01",156,150
"2014-05-02",50,89
"2014-05-03",93,66
"2014-05-04",57,67
"2014-05-05",54,72
"2014-05-06",105,63
"2014-05-07",82,87
"2014-05-08",104,73
"2014-05-09",84,52
"2014-05-10",69,59
"2014-05-11",46,43
"2014-05-12",74,58
"2014-05-13",86,102
"2014-05-14",59,62
"2014-05-15",122,68
"2014-05-16",92,120
"2014-05-17",124,178
"2014-05-18",171,72
"2014-05-19",146,47
"2014-05-20",113,65
"2014-05-21",170,92
"2014-05-22",183,141
"2014-05-23",140,177
"2014-05-24",104,176
"2014-05-25",91,203
"2014-05-26",77,190
"2014-05-27",107,160
"2014-05-28",121,142
"2014-05-29",120,99
"2014-05-30",192,140
"2014-05-31",177,154
"2014-06-01",130,158
"2014-06-02",90,83
"2014-06-03",117,79
"2014-06-04",124,102
"2014-06-05",157,104
"2014-06-06",103,63
"2014-06-07",51,69
"2014-06-08",70,137
"2014-06-09",87,103
"2014-06-10",95,46
"2014-06-11",74,44
"2014-06-12",90,66
"2014-06-13",116,100
"2014-06-14",165,163
"2014-06-15",178,179
"2014-06-16",178,115
"2014-06-17",104,49
"2014-06-18",116,39
"2014-06-19",116,111
"2014-06-20",84,139
"2014-06-21",96,163
"2014-06-22",91,236
"2014-06-23",115,153
"2014-06-24",161,163
"2014-06-25",138,135
"2014-06-26",163,124
"2014-06-27",68,201
"2014-06-28",77,147
"2014-06-29",161,51
"2014-06-30",185,45
"2014-07-01",172,46
"2014-07-02",80,116
"2014-07-03",248,76
"2014-07-04",237,159
"2014-07-05",165,154
"2014-07-06",256,156
"2014-07-07",216,173
"2014-07-08",134,170
"2014-07-09",63,143
"2014-07-10",114,179
"2014-07-11",77,201
"2014-07-12",80,185
"2014-07-13",64,155
"2014-07-14",156,75
"2014-07-15",140,56
"2014-07-16",133,55
"2014-07-17",186,81
"2014-07-18",182,95
"2014-07-19",106,118
"2014-07-20",119,176
"2014-07-21",68,110
"2014-07-22",54,70
"2014-07-23",82,138
"2014-07-24",90,158
"2014-07-25",134,151
"2014-07-26",188,130
"2014-07-27",194,109
"2014-07-28",159,138
"2014-07-29",159,75
"2014-07-30",169,85
"2014-07-31",244,90
"2014-08-01",199,102
"2014-08-02",163,82
"2014-08-03",149,110
"2014-08-04",47,127
"2014-08-05",80,119
"2014-08-06",67,119
"2014-08-07",162,110
"2014-08-08",140,152
"2014-08-09",143,112
"2014-08-10",125,175
"2014-08-11",76,161
"2014-08-12",119,202
"2014-08-13",70,119
"2014-08-14",104,80
"2014-08-15",109,201
"2014-08-16",159,145
"2014-08-17",124,90
"2014-08-18",135,97
"2014-08-19",150,100
"2014-08-20",164,94
"2014-08-21",169,56
"2014-08-22",83,53
"2014-08-23",155,50
"2014-08-24",75,61
"2014-08-25",59,60
"2014-08-26",78,70
"2014-08-27",136,118
"2014-08-28",103,74
"2014-08-29",104,37
"2014-08-30",176,34
"2014-08-31",89,44
"2014-09-01",127,74
"2014-09-02",42,64
"2014-09-03",54,44
"2014-09-04",100,63
"2014-09-05",140,84
"2014-09-06",186,104
"2014-09-07",200,50
"2014-09-08",61,37
"2014-09-09",109,35
"2014-09-10",111,34
"2014-09-11",114,57
"2014-09-12",97,89
"2014-09-13",94,140
"2014-09-14",66,169
"2014-09-15",54,201
"2014-09-16",87,102
"2014-09-17",80,69
"2014-09-18",84,114
"2014-09-19",117,133
"2014-09-20",168,179
"2014-09-21",129,57
"2014-09-22",127,124
"2014-09-23",64,49
"2014-09-24",60,74
"2014-09-25",144,73
"2014-09-26",170,68
"2014-09-27",58,62
"2014-09-28",87,48
"2014-09-29",70,33
"2014-09-30",53,59
"2014-10-01",92,62
"2014-10-02",78,149
"2014-10-03",123,272
"2014-10-04",95,343
"2014-10-05",54,310
"2014-10-06",68,35
"2014-10-07",200,39
"2014-10-08",314,27
"2014-10-09",379,37
"2014-10-10",346,60
"2014-10-11",233,84
"2014-10-12",30,135
"2014-10-13",49,143
"2014-10-14",80,253
"2014-10-15",73,344
"2014-10-16",76,64
"2014-10-17",132,78
"2014-10-18",211,99
"2014-10-19",289,70
"2014-10-20",250,54
"2014-10-21",82,74
"2014-10-22",99,75
"2014-10-23",163,74
"2014-10-24",267,63
"2014-10-25",353,48
"2014-10-26",78,30
"2014-10-27",72,30
"2014-10-28",88,58
"2014-10-29",140,73
"2014-10-30",206,98
"2014-10-31",204,102
"2014-11-01",65,199
"2014-11-02",34,260
"2014-11-03",59,144
"2014-11-04",150,37
"2014-11-05",79,37
"2014-11-06",32,82
"2014-11-07",63,163
"2014-11-08",93,175
"2014-11-09",80,137
"2014-11-10",95,205
"2014-11-11",59,258
"2014-11-12",40,324
"2014-11-13",65,246
"2014-11-14",77,79
"2014-11-15",143,82
"2014-11-16",98,92
"2014-11-17",64,102
"2014-11-18",93,88
"2014-11-19",282,60
"2014-11-20",351,69
"2014-11-22",74,39
"2014-11-23",155,65
"2014-11-24",94,69
"2014-11-25",196,55
"2014-11-26",293,264
"2014-11-27",83,308
"2014-11-28",114,302
"2014-11-29",276,450
"2014-12-01",54,476
"2014-12-02",65,24
"2014-12-03",51,33
"2014-12-04",31,54
"2014-12-05",62,77
"2014-12-06",89,175
"2014-12-07",65,230
"2014-12-08",82,295
"2014-12-09",276,294
"2014-12-10",153,127
"2014-12-11",52,75
"2014-12-12",41,172
"2014-12-13",69,229
"2014-12-14",113,207
"2014-12-15",82,28
"2014-12-16",33,23
"2014-12-17",99,84
"2014-12-19",53,80
"2014-12-20",32,168
"2014-12-21",44,249
"2014-12-22",103,280
"2014-12-23",100,347
"2014-12-24",44,305
"2014-12-25",73,209
"2014-12-26",155,485
"2014-12-27",243,315
"2014-12-28",155,75
"2014-12-29",125,149
"2014-12-30",65,329
"2014-12-31",43,104
"2015-01-01",65,90
