year,year2014,year2015
"2014-01-01",233,189
"2014-01-02",246,212
"2014-01-03",204,202
"2014-01-04",199,213
"2014-01-05",262,163
"2014-01-06",205,70
"2014-01-07",103,97
"2014-01-08",84,109
"2014-01-09",132,124
"2014-01-10",139,122
"2014-01-11",122,168
"2014-01-12",102,153
"2014-01-13",113,254
"2014-01-14",233,245
"2014-01-15",249,277
"2014-01-16",254,155
"2014-01-17",284,223
"2014-01-18",314,109
"2014-01-19",142,186
"2014-01-20",82,219
"2014-01-21",165,215
"2014-01-22",260,249
"2014-01-23",308,260
"2014-01-24",284,211
"2014-01-25",267,223
"2014-01-26",283,200
"2014-01-27",368,193
"2014-01-29",349,41
"2014-01-30",363,63
"2014-01-31",483,83
"2014-02-01",214,60
"2014-02-02",195,74
"2014-02-03",206,95
"2014-02-04",218,117
"2014-02-05",97,122
"2014-02-06",42,117
"2014-02-07",65,158
"2014-02-08",99,119
"2014-02-09",74,125
"2014-02-10",114,185
"2014-02-11",133,202
"2014-02-12",143,196
"2014-02-13",180,203
"2014-02-14",159,213
"2014-02-15",195,228
"2014-02-16",210,178
"2014-02-17",149,93
"2014-02-18",120,130
"2014-02-19",142,123
"2014-02-20",225,160
"2014-02-21",221,70
"2014-02-22",242,93
"2014-02-23",238,54
"2014-02-24",196,45
"2014-02-25",149,58
"2014-02-26",109,48
"2014-02-27",63,54
"2014-02-28",72,54
"2014-03-01",72,48
"2014-03-02",72,70
"2014-03-03",69,83
"2014-03-04",65,101
"2014-03-05",88,79
"2014-03-06",72,62
"2014-03-07",82,97
"2014-03-08",63,128
"2014-03-09",90,99
"2014-03-10",135,137
"2014-03-11",144,109
"2014-03-12",119,80
"2014-03-13",116,118
"2014-03-14",74,120
"2014-03-15",107,150
"2014-03-16",190,135
"2014-03-17",179,137
"2014-03-18",178,85
"2014-03-19",165,77
"2014-03-20",83,65
"2014-03-21",68,69
"2014-03-22",65,79
"2014-03-23",90,69
"2014-03-24",117,65
"2014-03-25",163,62
"2014-03-26",210,79
"2014-03-27",216,94
"2014-03-28",201,140
"2014-03-29",211,162
"2014-03-30",95,118
"2014-03-31",58,113
"2014-04-01",62,124
"2014-04-02",75,120
"2014-04-03",104,83
"2014-04-04",72,116
"2014-04-05",75,59
"2014-04-06",89,41
"2014-04-07",113,44
"2014-04-08",160,60
"2014-04-09",145,53
"2014-04-10",125,62
"2014-04-11",64,54
"2014-04-12",120,64
"2014-04-13",102,85
"2014-04-14",90,104
"2014-04-15",83,112
"2014-04-16",90,112
"2014-04-17",83,150
"2014-04-18",70,121
"2014-04-19",100,60
"2014-04-20",65,73
"2014-04-21",53,68
"2014-04-22",79,70
"2014-04-23",110,69
"2014-04-24",125,107
"2014-04-25",85,92
"2014-04-26",125,122
"2014-04-27",101,147
"2014-04-28",94,145
"2014-04-29",60,134
"2014-04-30",88,123
"2014-05-01",114,82
"2014-05-02",88,96
"2014-05-03",97,74
"2014-05-04",77,95
"2014-05-05",80,91
"2014-05-06",101,131
"2014-05-07",198,143
"2014-05-08",193,106
"2014-05-09",155,140
"2014-05-10",68,130
"2014-05-11",79,111
"2014-05-12",123,107
"2014-05-13",133,158
