year,year2014,year2015
"2014-01-01",158,201
"2014-01-02",183,231
"2014-01-03",212,238
"2014-01-04",209,257
"2014-01-05",219,175
"2014-01-06",209,84
"2014-01-07",170,88
"2014-01-08",125,102
"2014-01-09",122,129
"2014-01-10",102,130
"2014-01-11",119,138
"2014-01-12",128,153
"2014-01-13",107,128
"2014-01-14",107,199
"2014-01-15",142,225
"2014-01-16",206,246
"2014-01-17",195,232
"2014-01-18",169,189
"2014-01-19",209,190
"2014-01-20",158,205
"2014-01-21",169,168
"2014-01-22",148,148
"2014-01-23",170,183
"2014-01-24",206,215
"2014-01-25",207,250
"2014-01-26",223,248
"2014-01-27",190,175
"2014-01-28",245,53
"2014-01-29",237,53
"2014-01-30",204,59
"2014-01-31",255,65
"2014-02-01",223,53
"2014-02-02",199,80
"2014-02-03",176,102
"2014-02-04",140,133
"2014-02-05",67,103
"2014-02-06",48,105
"2014-02-07",45,158
"2014-02-08",55,188
"2014-02-09",28,129
"2014-02-10",68,150
"2014-02-11",89,192
"2014-02-12",88,155
"2014-02-13",100,200
"2014-02-14",120,201
"2014-02-15",124,190
"2014-02-16",143,178
"2014-02-17",165,104
"2014-02-18",67,118
"2014-02-19",83,148
"2014-02-20",94,78
"2014-02-21",153,90
"2014-02-22",153,59
"2014-02-23",228,49
"2014-02-24",192,59
"2014-02-25",148,64
"2014-02-26",100,55
"2014-02-27",87,38
"2014-02-28",52,30
"2014-03-01",50,47
"2014-03-02",44,55
"2014-03-03",58,65
"2014-03-04",70,80
"2014-03-05",84,67
"2014-03-06",70,66
"2014-03-07",48,65
"2014-03-08",60,69
"2014-03-09",84,93
"2014-03-10",89,95
"2014-03-11",88,108
"2014-03-12",112,118
"2014-03-13",90,122
"2014-03-14",62,112
"2014-03-15",73,118
"2014-03-16",83,92
"2014-03-17",98,104
"2014-03-18",139,97
"2014-03-19",144,49
"2014-03-20",47,45
"2014-03-21",43,52
"2014-03-22",59,64
"2014-03-23",79,70
"2014-03-24",97,69
"2014-03-25",98,63
"2014-03-26",97,64
"2014-03-27",119,62
"2014-03-28",95,58
"2014-03-29",69,75
"2014-03-30",41,61
"2014-03-31",58,67
"2014-04-01",48,84
"2014-04-02",57,73
"2014-04-03",78,110
"2014-04-04",90,80
"2014-04-05",78,46
"2014-04-06",64,39
"2014-04-07",72,33
"2014-04-08",88,34
"2014-04-09",73,57
"2014-04-10",92,72
"2014-04-11",82,92
"2014-04-12",60,72
"2014-04-13",44,83
"2014-04-14",50,67
"2014-04-15",54,81
"2014-04-16",73,89
"2014-04-17",72,112
"2014-04-18",73,41
"2014-04-19",40,69
"2014-04-20",32,69
"2014-04-21",33,69
"2014-04-22",50,69
"2014-04-23",54,78
"2014-04-24",67,77
"2014-04-25",56,88
"2014-04-26",75,104
"2014-04-27",60,135
"2014-04-28",70,127
"2014-04-29",64,68
"2014-04-30",81,37
"2014-05-01",78,58
"2014-05-02",82,53
"2014-05-03",38,48
"2014-05-04",37,56
"2014-05-05",59,74
"2014-05-06",67,65
"2014-05-07",101,66
"2014-05-08",95,95
"2014-05-09",145,76
"2014-05-10",59,68
"2014-05-11",71,78
"2014-05-12",68,88
"2014-05-13",85,87
"2014-05-14",62,83
"2014-05-15",62,59
"2014-05-16",62,63
"2014-05-17",72,94
"2014-05-18",97,82
"2014-05-19",94,66
"2014-05-20",88,75
"2014-05-21",41,53
"2014-05-22",58,53
"2014-05-23",56,80
"2014-05-24",72,45
"2014-05-25",69,52
"2014-05-26",62,75
"2014-05-27",82,95
"2014-05-28",87,53
"2014-05-29",86,75
"2014-05-30",88,79
"2014-05-31",59,52
"2014-06-01",106,82
"2014-06-02",90,49
"2014-06-03",73,45
"2014-06-04",74,58
"2014-06-05",78,60
"2014-06-06",53,50
"2014-06-07",62,58
"2014-06-08",72,71
"2014-06-09",57,106
"2014-06-10",44,79
"2014-06-11",52,70
"2014-06-12",67,39
"2014-06-13",51,59
"2014-06-14",50,62
"2014-06-15",60,50
"2014-06-16",62,59
"2014-06-17",156,65
"2014-06-18",151,59
"2014-06-19",67,55
"2014-06-20",51,49
"2014-06-21",38,46
"2014-06-22",42,45
"2014-06-23",42,63
"2014-06-24",46,62
"2014-06-25",40,56
"2014-06-26",62,60
"2014-06-27",89,62
"2014-06-28",64,58
"2014-06-29",39,34
"2014-06-30",44,41
"2014-07-01",42,58
"2014-07-02",88,46
"2014-07-03",49,34
"2014-07-04",91,39
"2014-07-05",102,61
"2014-07-06",68,77
"2014-07-07",103,79
"2014-07-08",123,72
"2014-07-09",79,99
"2014-07-10",63,105
"2014-07-11",48,75
"2014-07-12",43,75
"2014-07-13",110,88
"2014-07-14",49,52
"2014-07-15",57,86
"2014-07-16",126,95
"2014-07-17",128,83
"2014-07-18",57,84
"2014-07-19",45,72
"2014-07-20",39,80
"2014-07-21",48,59
"2014-07-22",83,69
"2014-07-23",174,80
"2014-07-24",90,107
"2014-07-25",143,98
"2014-07-26",144,67
"2014-07-27",90,68
"2014-07-28",91,51
"2014-07-29",91,47
"2014-07-30",109,55
"2014-07-31",101,55
"2014-08-01",64,47
"2014-08-02",105,43
"2014-08-03",105,57
"2014-08-04",98,66
"2014-08-05",120,90
"2014-08-06",93,59
"2014-08-07",138,52
"2014-08-08",113,60
"2014-08-09",54,73
"2014-08-10",52,85
"2014-08-11",34,56
"2014-08-12",28,60
"2014-08-13",92,71
"2014-08-14",124,69
"2014-08-15",75,80
"2014-08-16",65,44
"2014-08-17",59,32
"2014-08-18",54,32
"2014-08-19",77,64
"2014-08-20",93,125
"2014-08-21",100,126
"2014-08-22",68,88
"2014-08-23",44,67
"2014-08-24",66,57
"2014-08-25",87,79
"2014-08-26",56,79
"2014-08-27",38,85
"2014-08-28",48,93
"2014-08-29",49,100
"2014-08-30",79,102
"2014-08-31",53,82
"2014-09-01",51,63
"2014-09-02",40,53
"2014-09-03",59,43
"2014-09-04",42,40
"2014-09-05",63,80
"2014-09-06",67,58
"2014-09-07",77,73
"2014-09-08",92,79
"2014-09-09",92,30
"2014-09-10",100,41
"2014-09-11",73,60
"2014-09-12",63,63
"2014-09-13",43,68
"2014-09-14",34,84
"2014-09-15",31,57
"2014-09-16",48,50
"2014-09-17",35,53
"2014-09-18",29,50
"2014-09-19",45,63
"2014-09-20",71,63
"2014-09-21",75,58
"2014-09-22",70,42
"2014-09-23",79,53
"2014-09-24",60,55
"2014-09-25",80,43
"2014-09-26",103,47
"2014-09-27",93,52
"2014-09-28",78,65
"2014-09-29",69,45
"2014-09-30",57,54
"2014-10-01",57,54
"2014-10-02",54,42
"2014-10-03",57,50
"2014-10-04",47,59
"2014-10-05",73,74
"2014-10-06",78,83
"2014-10-07",74,72
"2014-10-08",82,66
"2014-10-09",97,77
"2014-10-10",95,89
"2014-10-11",102,82
"2014-10-12",58,89
"2014-10-13",63,99
"2014-10-14",104,87
"2014-10-15",188,64
"2014-10-16",94,77
"2014-10-17",55,84
"2014-10-18",85,85
"2014-10-19",102,68
"2014-10-20",138,70
"2014-10-21",125,87
"2014-10-22",85,112
"2014-10-23",93,103
"2014-10-24",148,45
"2014-10-25",209,45
"2014-10-26",200,62
"2014-10-27",218,89
"2014-10-28",77,42
"2014-10-29",58,45
"2014-10-30",69,67
"2014-10-31",82,64
"2014-11-01",53,84
"2014-11-02",53,100
"2014-11-03",77,79
"2014-11-04",77,57
"2014-11-05",134,84
"2014-11-06",166,58
"2014-11-07",95,73
"2014-11-08",88,54
"2014-11-09",87,50
"2014-11-10",127,44
"2014-11-11",180,55
"2014-11-12",199,55
"2014-11-13",153,78
"2014-11-14",189,82
"2014-11-15",195,60
"2014-11-16",160,70
"2014-11-17",144,62
"2014-11-18",134,65
"2014-11-19",196,58
"2014-11-20",150,75
"2014-11-22",109,53
"2014-11-23",98,40
"2014-11-24",78,46
"2014-11-25",59,67
"2014-11-26",70,63
"2014-11-27",87,69
"2014-11-28",98,79
"2014-11-29",62,93
"2014-12-01",56,99
"2014-12-02",80,87
"2014-12-03",85,90
"2014-12-04",78,53
"2014-12-05",135,52
"2014-12-06",168,59
"2014-12-07",178,65
"2014-12-08",176,74
"2014-12-09",148,145
"2014-12-10",107,148
"2014-12-11",85,87
"2014-12-12",117,48
"2014-12-13",135,57
"2014-12-14",148,53
"2014-12-15",199,44
"2014-12-16",129,54
"2014-12-17",138,63
"2014-12-18",210,59
"2014-12-19",172,64
"2014-12-20",159,69
"2014-12-21",122,85
"2014-12-22",93,100
"2014-12-23",148,115
"2014-12-24",152,104
"2014-12-25",112,88
"2014-12-26",77,98
"2014-12-27",92,95
"2014-12-28",119,114
"2014-12-29",132,152
"2014-12-30",148,182
"2014-12-31",156,179
"2015-01-01",201,178
