year,year2014,year2015
"2014-01-01",133,68
"2014-01-02",163,84
"2014-01-03",186,134
"2014-01-04",172,103
"2014-01-05",152,99
"2014-01-06",208,109
"2014-01-07",132,59
"2014-01-08",123,65
"2014-01-09",68,79
"2014-01-10",95,79
"2014-01-11",137,74
"2014-01-12",117,55
"2014-01-13",57,49
"2014-01-14",60,48
"2014-01-15",95,79
"2014-01-16",135,93
"2014-01-17",140,77
"2014-01-18",95,102
"2014-01-19",140,92
"2014-01-20",139,182
"2014-01-21",99,158
"2014-01-22",75,101
"2014-01-23",120,105
"2014-01-24",103,107
"2014-01-25",105,95
"2014-01-26",105,97
"2014-01-27",124,89
"2014-01-28",112,69
"2014-01-29",133,87
"2014-01-30",118,51
"2014-01-31",166,52
"2014-02-01",74,59
"2014-02-02",68,85
"2014-02-03",70,108
"2014-02-04",73,68
"2014-02-05",50,63
"2014-02-06",43,119
"2014-02-07",48,129
"2014-02-08",33,87
"2014-02-09",28,98
"2014-02-10",45,127
"2014-02-11",62,150
"2014-02-12",69,145
"2014-02-13",49,111
"2014-02-14",67,105
"2014-02-15",70,102
"2014-02-16",90,65
"2014-02-17",155,57
"2014-02-18",59,69
"2014-02-19",45,83
"2014-02-20",77,50
"2014-02-21",106,50
"2014-02-22",106,43
"2014-02-23",87,45
"2014-02-24",102,40
"2014-02-25",100,37
"2014-02-26",88,44
"2014-02-27",72,45
"2014-02-28",88,49
"2014-03-01",82,30
"2014-03-02",53,64
"2014-03-03",70,63
"2014-03-04",73,39
"2014-03-05",58,44
"2014-03-06",85,37
"2014-03-07",53,50
"2014-03-08",57,98
"2014-03-09",45,88
"2014-03-10",54,45
"2014-03-11",73,44
"2014-03-12",178,47
"2014-03-13",57,65
"2014-03-14",75,99
"2014-03-15",89,80
"2014-03-16",123,69
"2014-03-17",165,58
"2014-03-18",100,60
"2014-03-19",93,60
"2014-03-20",104,57
"2014-03-21",69,69
"2014-03-22",78,82
"2014-03-23",112,68
"2014-03-24",112,45
"2014-03-25",94,57
"2014-03-26",95,55
"2014-03-27",73,68
"2014-03-28",62,68
"2014-03-29",77,70
"2014-03-30",70,58
"2014-03-31",78,49
"2014-04-01",72,48
"2014-04-02",79,39
"2014-04-03",82,43
"2014-04-04",83,34
"2014-04-05",103,49
"2014-04-06",89,87
"2014-04-07",79,64
"2014-04-08",94,39
"2014-04-09",108,44
"2014-04-10",77,44
"2014-04-11",70,52
"2014-04-12",73,62
"2014-04-13",88,89
"2014-04-14",84,102
"2014-04-15",63,134
"2014-04-16",67,170
"2014-04-17",68,89
