year,year2014,year2015
"2014-01-01",119,70
"2014-01-02",160,92
"2014-01-03",172,134
"2014-01-04",220,124
"2014-01-05",243,162
"2014-01-06",188,163
"2014-01-07",150,70
"2014-01-08",62,119
"2014-01-09",68,165
"2014-01-10",100,173
"2014-01-11",89,134
"2014-01-12",80,94
"2014-01-13",125,80
"2014-01-14",88,55
"2014-01-15",104,73
"2014-01-16",120,122
"2014-01-17",172,199
"2014-01-18",282,143
"2014-01-19",244,98
"2014-01-20",133,102
"2014-01-21",88,107
"2014-01-22",88,162
"2014-01-23",103,202
"2014-01-24",74,185
"2014-01-25",169,228
"2014-01-26",78,228
"2014-01-27",53,104
"2014-01-28",123,62
"2014-01-29",112,72
"2014-01-30",211,79
"2014-01-31",244,97
"2014-02-01",95,69
"2014-02-02",245,135
"2014-02-03",79,107
"2014-02-04",42,138
"2014-02-05",38,114
"2014-02-06",39,83
"2014-02-07",32,100
"2014-02-08",70,103
"2014-02-09",79,58
"2014-02-10",46,79
"2014-02-11",70,83
"2014-02-12",85,104
"2014-02-13",63,185
"2014-02-14",89,124
"2014-02-15",113,67
"2014-02-16",77,134
"2014-02-17",63,179
"2014-02-18",57,85
"2014-02-19",77,63
"2014-02-20",85,49
"2014-02-21",153,45
"2014-02-22",153,107
"2014-02-23",94,95
"2014-02-24",134,64
"2014-02-25",78,42
"2014-02-26",69,74
"2014-02-27",129,37
"2014-02-28",109,40
"2014-03-01",59,51
"2014-03-02",105,74
"2014-03-03",60,102
"2014-03-04",77,61
"2014-03-05",93,58
"2014-03-06",52,82
"2014-03-07",59,102
"2014-03-08",55,74
"2014-03-09",78,85
"2014-03-10",127,56
"2014-03-11",110,89
"2014-03-12",69,113
"2014-03-13",70,105
"2014-03-14",71,140
"2014-03-15",88,87
"2014-03-16",94,83
"2014-03-17",78,124
"2014-03-18",117,68
"2014-03-19",137,75
"2014-03-20",78,110
"2014-03-21",78,63
"2014-03-22",82,81
"2014-03-23",93,73
"2014-03-24",73,48
"2014-03-25",82,61
"2014-03-26",107,72
"2014-03-27",118,67
"2014-03-28",68,70
"2014-03-29",63,108
"2014-03-30",134,103
"2014-03-31",125,64
"2014-04-01",95,90
"2014-04-02",94,62
"2014-04-03",78,90
"2014-04-04",77,87
"2014-04-05",97,107
"2014-04-06",57,43
"2014-04-07",88,44
"2014-04-08",144,64
"2014-04-09",129,63
"2014-04-10",120,99
"2014-04-11",120,74
"2014-04-12",102,92
"2014-04-13",65,57
"2014-04-14",79,72
"2014-04-15",89,75
"2014-04-16",88,84
"2014-04-17",148,101
"2014-04-18",109,98
"2014-04-19",59,51
"2014-04-20",70,82
"2014-04-21",57,109
"2014-04-22",67,102
"2014-04-23",78,113
"2014-04-24",83,142
"2014-04-25",70,78
"2014-04-26",83,81
"2014-04-27",45,93
