year,year2014,year2015
"2014-01-01",71,49
"2014-01-02",56,53
"2014-01-03",89,43
"2014-01-04",105,46
"2014-01-05",63,77
"2014-01-06",57,68
"2014-01-07",57,35
"2014-01-08",76,43
"2014-01-09",68,53
"2014-01-10",56,74
"2014-01-11",57,82
"2014-01-12",70,73
"2014-01-13",59,64
"2014-01-14",88,80
"2014-01-15",53,75
"2014-01-16",54,38
"2014-01-17",112,50
"2014-01-18",120,47
"2014-01-19",104,78
"2014-01-20",62,73
"2014-01-21",74,50
"2014-01-22",100,38
"2014-01-23",76,55
"2014-01-24",49,57
"2014-01-25",89,56
"2014-01-26",73,56
"2014-01-27",61,63
"2014-01-28",42,70
"2014-01-29",52,55
"2014-01-31",68,60
"2014-02-01",40,57
"2014-02-02",44,69
"2014-02-03",50,66
"2014-02-04",41,62
"2014-02-05",37,48
"2014-02-06",39,58
"2014-02-07",38,51
"2014-02-08",48,58
"2014-02-09",52,53
"2014-02-10",63,77
"2014-02-11",66,73
"2014-02-12",57,60
"2014-02-13",78,36
"2014-02-14",69,46
"2014-02-15",55,52
"2014-02-16",54,44
"2014-02-17",51,53
"2014-02-18",39,60
"2014-02-19",52,43
"2014-02-20",59,41
"2014-02-21",51,40
"2014-02-22",57,41
"2014-02-23",54,39
"2014-02-24",53,39
"2014-02-25",45,51
"2014-02-26",78,52
"2014-02-27",58,57
"2014-02-28",55,64
"2014-03-01",47,52
"2014-03-02",54,44
"2014-03-03",55,48
"2014-03-04",58,42
"2014-03-05",70,43
"2014-03-06",69,54
"2014-03-07",94,51
"2014-03-08",80,60
"2014-03-09",100,70
"2014-03-10",103,78
"2014-03-11",81,64
"2014-03-12",63,65
"2014-03-13",92,92
"2014-03-14",90,61
"2014-03-15",105,64
"2014-03-16",74,54
"2014-03-17",92,57
"2014-03-18",81,66
"2014-03-19",84,67
"2014-03-20",104,95
"2014-03-21",68,125
"2014-03-22",59,107
"2014-03-23",57,59
"2014-03-24",53,42
"2014-03-25",59,53
"2014-03-26",84,55
"2014-03-27",65,53
"2014-03-28",65,52
"2014-03-29",84,64
"2014-03-30",80,57
"2014-03-31",85,51
"2014-04-01",94,49
"2014-04-02",62,43
"2014-04-03",85,46
"2014-04-04",83,58
"2014-04-05",71,68
"2014-04-06",70,72
"2014-04-07",70,74
"2014-04-08",68,70
"2014-04-09",69,63
"2014-04-10",61,57
"2014-04-11",66,53
"2014-04-12",64,76
"2014-04-13",89,71
"2014-04-14",99,87
"2014-04-15",86,89
"2014-04-16",79,60
"2014-04-17",79,48
"2014-04-18",84,64
"2014-04-19",79,66
"2014-04-20",82,36
"2014-04-21",77,51
"2014-04-22",85,55
"2014-04-23",85,53
"2014-04-24",96,50
"2014-04-25",97,40
"2014-04-26",110,52
"2014-04-27",83,66
"2014-04-28",78,57
"2014-04-29",70,53
"2014-04-30",60,65
"2014-05-01",75,61
"2014-05-02",54,72
"2014-05-03",51,67
"2014-05-04",51,79
"2014-05-05",56,74
"2014-05-06",60,85
"2014-05-07",53,57
"2014-05-08",47,56
"2014-05-09",49,77
"2014-05-10",56,58
"2014-05-11",78,57
"2014-05-12",55,56
"2014-05-13",53,62
"2014-05-14",55,75
"2014-05-15",71,57
"2014-05-16",66,47
"2014-05-17",65,46
"2014-05-18",72,50
"2014-05-19",83,35
"2014-05-20",68,30
"2014-05-21",62,51
"2014-05-22",57,62
"2014-05-23",57,65
"2014-05-24",70,63
"2014-05-25",50,56
"2014-05-26",61,55
"2014-05-27",57,69
"2014-05-28",53,70
"2014-05-29",53,51
"2014-05-30",55,49
"2014-05-31",50,51
"2014-06-01",51,65
"2014-06-02",59,54
"2014-06-03",56,44
"2014-06-04",57,47
"2014-06-05",53,42
"2014-06-06",48,48
"2014-06-07",44,43
"2014-06-08",51,50
"2014-06-09",50,48
"2014-06-10",36,51
"2014-06-11",42,35
"2014-06-12",50,39
"2014-06-13",50,33
"2014-06-14",48,26
"2014-06-15",51,31
"2014-06-16",42,39
"2014-06-17",69,35
"2014-06-18",54,36
"2014-06-19",32,41
"2014-06-20",38,41
"2014-06-21",44,50
"2014-06-22",54,51
"2014-06-23",58,41
"2014-06-24",34,28
"2014-06-25",42,27
"2014-06-26",48,29
"2014-06-27",53,30
"2014-06-28",47,34
"2014-06-29",38,46
"2014-06-30",41,48
"2014-07-01",52,41
"2014-07-02",54,31
"2014-07-03",36,41
"2014-07-04",46,81
"2014-07-05",58,96
"2014-07-06",47,116
"2014-07-07",53,83
"2014-07-08",51,95
"2014-07-09",55,127
"2014-07-10",47,119
"2014-07-11",47,104
"2014-07-12",36,68
"2014-07-13",40,45
"2014-07-14",34,85
"2014-07-15",37,55
"2014-07-16",35,55
"2014-07-17",50,53
"2014-07-18",42,62
"2014-07-19",40,66
"2014-07-20",20,39
"2014-07-21",22,49
"2014-07-22",39,44
"2014-07-23",57,68
"2014-07-24",68,107
"2014-07-25",84,80
"2014-07-26",60,47
"2014-07-27",59,34
"2014-07-28",65,40
"2014-07-29",54,36
"2014-07-30",50,29
"2014-07-31",54,27
"2014-08-01",47,29
"2014-08-02",45,31
"2014-08-03",51,29
"2014-08-04",61,37
"2014-08-05",51,32
"2014-08-06",48,36
"2014-08-07",60,36
"2014-08-08",54,57
"2014-08-09",49,60
"2014-08-10",43,48
"2014-08-11",43,48
"2014-08-12",42,53
"2014-08-13",47,45
"2014-08-14",52,40
"2014-08-15",59,34
"2014-08-16",51,36
"2014-08-17",42,37
"2014-08-18",39,65
"2014-08-19",37,79
"2014-08-20",80,106
"2014-08-21",61,66
"2014-08-22",44,32
"2014-08-23",41,35
"2014-08-24",40,42
"2014-08-25",58,36
"2014-08-26",40,41
"2014-08-27",40,59
"2014-08-28",40,63
"2014-08-29",34,50
"2014-08-30",48,62
"2014-08-31",58,59
"2014-09-01",67,53
"2014-09-02",57,36
"2014-09-03",44,39
"2014-09-04",43,45
"2014-09-05",53,37
"2014-09-06",42,33
"2014-09-07",48,39
"2014-09-08",53,56
"2014-09-09",46,37
"2014-09-10",51,48
"2014-09-11",49,58
"2014-09-12",51,58
"2014-09-13",57,51
"2014-09-14",51,45
"2014-09-15",57,36
"2014-09-16",53,32
"2014-09-17",21,36
"2014-09-18",39,35
"2014-09-19",51,41
"2014-09-20",49,37
"2014-09-21",53,36
"2014-09-22",55,54
"2014-09-23",59,50
"2014-09-24",38,35
"2014-09-25",48,39
"2014-09-26",44,60
"2014-09-27",40,57
"2014-09-28",54,44
"2014-09-29",67,47
"2014-09-30",60,49
"2014-10-01",53,40
"2014-10-02",55,42
"2014-10-03",56,50
"2014-10-04",51,46
