year,year2014,year2015
"2014-01-01",193,63
"2014-01-02",140,105
"2014-01-03",195,128
"2014-01-04",137,166
"2014-01-05",83,105
"2014-01-06",59,109
"2014-01-07",79,56
"2014-01-08",50,94
"2014-01-09",51,196
"2014-01-10",65,240
"2014-01-11",62,248
"2014-01-12",113,39
"2014-01-13",58,60
"2014-01-14",49,53
"2014-01-15",55,102
"2014-01-16",104,150
"2014-01-17",130,100
"2014-01-18",210,115
"2014-01-19",155,115
"2014-01-20",239,60
"2014-01-21",64,139
"2014-01-22",74,166
"2014-01-23",59,139
"2014-01-24",53,139
"2014-01-25",132,168
"2014-01-26",44,128
"2014-01-27",54,65
"2014-01-28",69,37
"2014-01-29",80,50
"2014-01-30",241,94
"2014-01-31",186,48
"2014-02-01",92,50
"2014-02-02",236,64
"2014-02-03",63,83
"2014-02-04",38,226
"2014-02-05",37,120
"2014-02-06",29,104
"2014-02-07",35,147
"2014-02-08",59,64
"2014-02-09",63,55
"2014-02-10",40,85
"2014-02-11",50,108
"2014-02-12",38,209
"2014-02-13",40,65
"2014-02-14",59,81
"2014-02-15",45,80
"2014-02-16",48,149
"2014-02-17",53,150
"2014-02-18",40,92
"2014-02-19",88,48
"2014-02-20",168,45
"2014-02-21",113,84
"2014-02-22",113,148
"2014-02-23",117,92
"2014-02-24",109,79
"2014-02-25",63,55
"2014-02-26",70,69
"2014-02-27",125,46
"2014-02-28",112,39
"2014-03-01",52,109
"2014-03-02",73,142
"2014-03-03",55,107
"2014-03-04",67,50
"2014-03-05",54,40
"2014-03-06",46,45
"2014-03-07",46,50
"2014-03-08",101,62
"2014-03-09",113,54
"2014-03-10",201,45
"2014-03-11",87,80
"2014-03-12",58,98
"2014-03-13",60,128
"2014-03-14",110,134
"2014-03-15",112,73
"2014-03-16",93,52
"2014-03-17",110,57
"2014-03-18",178,80
"2014-03-19",112,108
"2014-03-20",82,87
"2014-03-21",61,144
"2014-03-22",77,99
"2014-03-23",58,63
"2014-03-24",55,53
"2014-03-25",92,59
"2014-03-26",112,71
"2014-03-27",57,60
"2014-03-28",55,105
"2014-03-29",92,117
"2014-03-30",128,76
"2014-03-31",79,97
"2014-04-01",72,84
"2014-04-02",67,75
"2014-04-03",75,92
"2014-04-04",79,89
"2014-04-05",78,67
"2014-04-06",52,47
"2014-04-07",58,45
"2014-04-08",89,57
"2014-04-09",90,66
"2014-04-10",87,70
"2014-04-11",68,81
"2014-04-12",77,95
"2014-04-13",60,70
"2014-04-14",88,93
"2014-04-15",73,106
"2014-04-16",62,93
"2014-04-17",189,93
"2014-04-18",83,155
"2014-04-19",59,69
"2014-04-20",54,82
"2014-04-21",63,148
"2014-04-22",77,114
"2014-04-23",95,108
"2014-04-24",72,107
"2014-04-25",72,140
"2014-04-26",50,110
"2014-04-27",84,120
"2014-04-28",69,65
"2014-04-29",102,95
"2014-04-30",92,90
"2014-05-01",124,76
"2014-05-02",107,82
"2014-05-03",72,99
"2014-05-04",79,74
"2014-05-05",71,84
"2014-05-06",86,94
"2014-05-07",92,76
"2014-05-08",107,58
"2014-05-09",66,92
"2014-05-10",54,57
"2014-05-11",58,76
"2014-05-12",110,128
"2014-05-13",85,72
"2014-05-14",146,78
"2014-05-15",92,76
"2014-05-16",98,75
"2014-05-17",79,87
"2014-05-18",63,107
"2014-05-19",60,95
"2014-05-20",89,75
"2014-05-21",150,90
"2014-05-22",96,55
"2014-05-23",68,56
"2014-05-24",55,71
"2014-05-25",115,86
"2014-05-26",150,61
"2014-05-27",189,52
"2014-05-28",137,48
"2014-05-29",143,55
"2014-05-30",123,73
"2014-05-31",90,96
"2014-06-01",62,58
"2014-06-02",67,48
"2014-06-03",60,67
"2014-06-04",80,196
"2014-06-05",54,157
"2014-06-06",69,66
"2014-06-07",104,59
"2014-06-08",57,77
"2014-06-09",57,53
"2014-06-10",42,98
"2014-06-11",49,152
"2014-06-12",80,113
"2014-06-13",158,85
"2014-06-14",194,87
"2014-06-15",75,83
"2014-06-16",49,67
"2014-06-17",54,68
"2014-06-18",60,84
"2014-06-19",69,80
"2014-06-20",57,65
"2014-06-21",43,59
"2014-06-22",47,70
"2014-06-23",52,89
"2014-06-24",95,90
"2014-06-25",58,62
"2014-06-26",57,48
"2014-06-27",52,55
"2014-06-28",124,55
"2014-06-29",130,89
"2014-06-30",83,75
"2014-07-01",55,101
"2014-07-02",75,104
"2014-07-03",104,87
"2014-07-04",64,69
"2014-07-05",55,50
"2014-07-06",77,60
"2014-07-07",55,53
"2014-07-08",44,46
"2014-07-09",44,32
"2014-07-10",129,31
"2014-07-11",160,46
"2014-07-12",104,177
"2014-07-13",60,149
"2014-07-14",116,47
"2014-07-15",62,38
"2014-07-16",85,47
"2014-07-17",60,44
"2014-07-18",46,36
"2014-07-19",55,39
"2014-07-20",66,58
"2014-07-21",63,55
"2014-07-22",64,57
"2014-07-23",47,94
"2014-07-24",51,127
"2014-07-25",58,130
"2014-07-26",127,137
"2014-07-27",67,163
"2014-07-28",117,171
"2014-07-29",86,153
"2014-07-30",43,135
"2014-07-31",33,131
"2014-08-01",32,155
"2014-08-02",34,162
"2014-08-03",107,181
"2014-08-04",162,153
"2014-08-05",104,46
"2014-08-06",85,33
"2014-08-07",41,33
"2014-08-08",40,28
"2014-08-09",48,31
"2014-08-10",72,50
"2014-08-11",74,52
"2014-08-12",57,101
"2014-08-13",71,85
"2014-08-14",48,60
"2014-08-15",55,49
"2014-08-16",65,82
"2014-08-17",44,78
"2014-08-18",67,78
"2014-08-19",65,80
