year,year2014,year2015
"2014-01-01",130,90
"2014-01-02",112,108
"2014-01-03",93,153
"2014-01-04",114,215
"2014-01-05",205,85
"2014-01-06",218,63
"2014-01-07",97,90
"2014-01-08",71,93
"2014-01-09",95,112
"2014-01-10",201,159
"2014-01-11",153,206
"2014-01-12",90,220
"2014-01-13",119,192
"2014-01-14",185,248
"2014-01-15",285,239
"2014-01-16",310,127
"2014-01-17",227,94
"2014-01-18",127,75
"2014-01-19",98,113
"2014-01-20",80,93
"2014-01-21",119,69
"2014-01-22",198,86
"2014-01-24",204,130
"2014-01-25",128,176
"2014-01-26",168,211
"2014-01-27",248,240
"2014-01-28",245,142
"2014-01-29",288,64
"2014-01-30",353,70
"2014-01-31",500,60
"2014-02-01",392,88
"2014-02-02",425,149
"2014-02-03",246,175
"2014-02-04",118,204
"2014-02-05",82,119
"2014-02-06",110,76
"2014-02-07",168,83
"2014-02-08",229,65
"2014-02-09",87,75
"2014-02-10",110,87
"2014-02-11",168,99
"2014-02-12",232,96
"2014-02-13",201,91
"2014-02-14",237,94
"2014-02-15",289,122
"2014-02-16",274,93
"2014-02-17",175,71
"2014-02-18",193,90
"2014-02-19",173,126
"2014-02-20",215,99
"2014-02-21",251,94
"2014-02-22",251,102
"2014-02-23",295,125
"2014-02-24",290,104
"2014-02-25",295,108
"2014-02-26",202,91
"2014-02-27",129,107
"2014-02-28",118,89
"2014-03-01",159,78
"2014-03-02",215,64
"2014-03-03",251,77
"2014-03-04",132,112
"2014-03-05",153,67
"2014-03-06",163,78
"2014-03-07",149,99
"2014-03-08",113,110
"2014-03-09",108,90
"2014-03-10",140,78
"2014-03-11",100,89
"2014-03-12",104,87
"2014-03-13",75,100
"2014-03-14",100,109
"2014-03-15",108,121
"2014-03-16",126,153
"2014-03-17",145,180
"2014-03-18",200,150
"2014-03-19",115,80
"2014-03-20",76,63
"2014-03-21",98,56
"2014-03-22",112,73
"2014-03-23",107,92
"2014-03-24",99,56
"2014-03-25",101,93
"2014-03-26",129,73
"2014-03-27",105,57
"2014-03-28",175,80
"2014-03-29",223,78
"2014-03-30",120,115
"2014-03-31",104,85
"2014-04-01",96,104
"2014-04-02",107,54
"2014-04-03",100,73
"2014-04-04",102,98
"2014-04-05",90,72
"2014-04-06",107,47
"2014-04-07",91,52
"2014-04-08",109,75
"2014-04-09",118,73
"2014-04-10",117,76
"2014-04-11",83,89
"2014-04-12",79,76
"2014-04-13",97,86
"2014-04-14",98,59
"2014-04-15",75,88
"2014-04-16",68,81
"2014-04-17",83,123
"2014-04-18",84,134
"2014-04-19",55,41
"2014-04-20",80,58
"2014-04-21",60,44
"2014-04-22",69,63
"2014-04-23",98,72
"2014-04-24",109,75
"2014-04-25",126,85
"2014-04-26",117,82
"2014-04-27",177,70
"2014-04-28",172,80
"2014-04-29",137,92
"2014-04-30",129,99
"2014-05-01",132,68
"2014-05-02",99,63
"2014-05-03",117,60
"2014-05-04",101,68
"2014-05-05",101,73
"2014-05-06",106,66
"2014-05-07",98,85
"2014-05-08",107,65
"2014-05-09",121,72
"2014-05-10",57,68
"2014-05-11",63,62
"2014-05-12",79,77
"2014-05-13",76,95
"2014-05-14",65,94
"2014-05-15",73,70
"2014-05-16",90,100
"2014-05-17",90,96
"2014-05-18",91,82
"2014-05-19",102,98
"2014-05-20",112,86
"2014-05-21",93,63
"2014-05-22",80,83
"2014-05-23",59,101
"2014-05-24",70,85
"2014-05-25",216,74
"2014-05-26",138,85
"2014-05-27",101,100
"2014-05-28",109,76
"2014-05-29",96,63
"2014-05-30",105,68
"2014-05-31",106,70
"2014-06-01",79,62
"2014-06-02",99,60
"2014-06-03",86,64
"2014-06-04",59,64
"2014-06-05",99,64
"2014-06-06",73,61
"2014-06-07",61,65
"2014-06-08",95,73
"2014-06-09",90,84
"2014-06-10",88,104
"2014-06-11",79,84
"2014-06-12",130,76
"2014-06-13",68,72
"2014-06-14",74,89
"2014-06-15",62,67
"2014-06-16",83,82
"2014-06-17",57,85
"2014-06-18",77,90
"2014-06-19",53,95
"2014-06-20",67,84
"2014-06-21",69,80
"2014-06-22",79,65
"2014-06-23",72,58
"2014-06-24",54,33
"2014-06-25",54,94
"2014-06-26",103,61
"2014-06-27",108,35
"2014-06-28",86,53
"2014-06-29",65,56
"2014-06-30",102,65
"2014-07-01",96,86
"2014-07-02",101,103
"2014-07-03",65,77
"2014-07-04",93,87
"2014-07-05",86,71
"2014-07-06",95,64
"2014-07-07",108,86
"2014-07-08",99,97
"2014-07-09",45,110
"2014-07-10",28,102
"2014-07-11",82,92
"2014-07-12",82,101
"2014-07-13",85,130
"2014-07-14",97,138
"2014-07-15",80,75
"2014-07-16",80,101
"2014-07-17",86,111
"2014-07-18",76,99
"2014-07-19",45,88
"2014-07-20",35,94
"2014-07-21",54,101
"2014-07-22",106,61
"2014-07-23",55,80
"2014-07-24",80,75
"2014-07-25",82,142
"2014-07-26",92,118
"2014-07-27",109,79
"2014-07-28",96,90
"2014-07-29",98,127
"2014-07-30",93,120
"2014-07-31",94,85
"2014-08-01",115,76
"2014-08-02",110,90
"2014-08-03",109,56
"2014-08-04",88,35
"2014-08-05",90,118
"2014-08-06",70,115
"2014-08-07",49,91
"2014-08-08",34,94
"2014-08-09",54,99
"2014-08-10",76,75
"2014-08-11",90,78
"2014-08-12",59,67
"2014-08-13",56,61
"2014-08-14",75,53
"2014-08-15",72,85
"2014-08-16",83,90
"2014-08-17",78,169
"2014-08-18",90,146
"2014-08-19",90,97
"2014-08-20",89,64
"2014-08-21",105,69
"2014-08-22",78,107
"2014-08-23",72,100
"2014-08-24",57,90
"2014-08-25",77,95
"2014-08-26",93,115
"2014-08-27",64,106
"2014-08-28",60,87
"2014-08-29",63,95
"2014-08-30",49,76
"2014-08-31",52,76
"2014-09-01",67,102
"2014-09-02",59,68
"2014-09-03",60,49
"2014-09-04",78,58
"2014-09-05",80,83
"2014-09-06",74,71
"2014-09-07",68,75
"2014-09-08",57,59
"2014-09-09",62,37
"2014-09-10",60,44
"2014-09-11",63,52
"2014-09-12",35,75
"2014-09-13",39,72
"2014-09-14",45,79
"2014-09-15",37,90
"2014-09-16",39,102
"2014-09-17",45,78
"2014-09-18",57,97
"2014-09-19",73,87
"2014-09-20",87,75
"2014-09-21",89,59
"2014-09-22",70,57
"2014-09-23",44,51
"2014-09-24",62,65
"2014-09-25",91,71
"2014-09-26",110,61
"2014-09-27",104,72
"2014-09-28",38,72
"2014-09-29",52,71
"2014-09-30",62,200
"2014-10-01",65,105
"2014-10-02",93,128
"2014-10-03",112,140
"2014-10-04",91,119
"2014-10-05",75,113
"2014-10-06",115,85
"2014-10-07",150,63
"2014-10-08",229,67
"2014-10-09",248,65
"2014-10-10",130,71
"2014-10-11",89,85
"2014-10-12",43,118
"2014-10-13",50,118
"2014-10-14",65,109
"2014-10-15",78,139
"2014-10-16",117,122
"2014-10-17",99,121
"2014-10-18",124,189
"2014-10-19",137,202
"2014-10-20",103,165
"2014-10-21",129,104
"2014-10-22",155,81
"2014-10-23",95,90
"2014-10-24",98,54
"2014-10-25",102,43
"2014-10-26",115,65
"2014-10-27",96,87
"2014-10-28",90,85
"2014-10-29",152,55
"2014-10-30",166,31
