year,year2014,year2015
"2014-01-01",86,172
"2014-01-02",112,132
"2014-01-03",78,104
"2014-01-04",107,95
"2014-01-05",144,129
"2014-01-06",192,127
"2014-01-07",226,180
"2014-01-08",117,103
"2014-01-09",112,148
"2014-01-10",202,155
"2014-01-11",260,117
"2014-01-12",94,82
"2014-01-13",128,109
"2014-01-14",195,129
"2014-01-15",224,137
"2014-01-16",242,147
"2014-01-17",302,181
"2014-01-18",271,175
"2014-01-19",168,176
"2014-01-20",51,109
"2014-01-21",73,139
"2014-01-22",105,117
"2014-01-23",158,90
"2014-01-24",252,49
"2014-01-25",196,56
"2014-01-26",72,83
"2014-01-27",110,62
"2014-01-28",133,63
"2014-01-29",182,47
"2014-01-30",246,77
"2014-01-31",274,96
"2014-02-01",225,83
"2014-02-02",266,96
"2014-02-03",95,102
"2014-02-04",62,91
"2014-02-05",49,85
"2014-02-06",70,112
"2014-02-07",133,132
"2014-02-08",130,97
"2014-02-09",74,84
"2014-02-10",39,70
"2014-02-11",77,104
"2014-02-12",124,130
"2014-02-13",185,152
"2014-02-14",216,70
"2014-02-15",210,98
"2014-02-16",210,108
"2014-02-17",225,110
"2014-02-18",80,77
"2014-02-19",162,77
"2014-02-20",245,82
"2014-02-21",147,102
"2014-02-22",147,87
"2014-02-23",176,112
"2014-02-24",249,120
"2014-02-25",240,90
"2014-02-26",129,79
"2014-02-27",109,68
"2014-02-28",65,69
"2014-03-01",128,71
"2014-03-02",183,71
"2014-03-03",114,81
"2014-03-04",175,68
"2014-03-05",69,58
"2014-03-06",93,53
"2014-03-07",95,60
"2014-03-08",132,84
"2014-03-09",123,80
"2014-03-10",83,134
"2014-03-11",92,92
"2014-03-12",134,59
"2014-03-13",81,124
"2014-03-14",84,148
"2014-03-15",109,94
"2014-03-16",117,87
"2014-03-17",152,113
"2014-03-18",227,109
"2014-03-19",83,97
"2014-03-20",70,110
"2014-03-21",104,59
"2014-03-22",95,101
"2014-03-23",95,147
"2014-03-24",130,138
"2014-03-25",180,80
"2014-03-26",205,100
"2014-03-27",97,111
"2014-03-28",93,116
"2014-03-29",175,111
"2014-03-30",186,99
"2014-03-31",104,78
"2014-04-01",114,57
"2014-04-02",87,64
"2014-04-03",103,58
"2014-04-04",126,63
"2014-04-05",126,52
"2014-04-06",84,67
"2014-04-07",102,65
"2014-04-08",156,77
"2014-04-09",115,97
"2014-04-10",106,90
"2014-04-11",82,124
"2014-04-12",169,52
"2014-04-13",127,73
"2014-04-14",77,103
"2014-04-15",105,83
"2014-04-16",134,83
"2014-04-17",159,106
"2014-04-18",176,119
"2014-04-19",84,107
"2014-04-20",108,172
"2014-04-21",132,115
"2014-04-22",99,130
"2014-04-23",76,115
"2014-04-24",77,98
"2014-04-25",83,152
"2014-04-26",92,110
"2014-04-27",99,117
"2014-04-28",89,173
"2014-04-29",113,200
"2014-04-30",127,100
"2014-05-01",146,76
"2014-05-02",84,127
"2014-05-03",92,113
"2014-05-04",90,120
"2014-05-05",92,97
"2014-05-06",89,86
"2014-05-07",89,127
"2014-05-08",95,69
"2014-05-09",95,69
"2014-05-10",60,58
"2014-05-11",72,69
"2014-05-12",105,79
"2014-05-13",96,99
"2014-05-14",88,131
"2014-05-15",85,118
